time	V(vout)
8.198571428570689e-001	2.807263e+000
8.198857142856403e-001	2.806235e+000
8.199142857142118e-001	2.805501e+000
8.199428571427831e-001	2.805061e+000
8.199714285713546e-001	2.804915e+000
8.199999999999260e-001	2.805063e+000
8.200296220718290e-001	2.805458e+000
8.200592441437318e-001	2.805709e+000
8.200888662156347e-001	2.805817e+000
8.201184882875376e-001	2.805782e+000
8.201481103594406e-001	2.805605e+000
8.201777324313434e-001	2.805284e+000
8.202073545032463e-001	2.804821e+000
8.202999999999260e-001	2.800201e+000
8.203999999999260e-001	2.797419e+000
8.204999999999260e-001	2.797805e+000
8.206060248090460e-001	2.794869e+000
8.206999999999259e-001	2.793970e+000
8.207999999999259e-001	2.794107e+000
8.208999999999259e-001	2.789383e+000
8.209285714284973e-001	2.786663e+000
8.209571428570688e-001	2.784359e+000
8.209857142856402e-001	2.782471e+000
8.210142857142116e-001	2.781000e+000
8.210428571427830e-001	2.779945e+000
8.210714285713545e-001	2.779305e+000
8.210999999999259e-001	2.779082e+000
8.211999999999259e-001	2.778186e+000
8.212999999999259e-001	2.777433e+000
8.213999999999259e-001	2.775523e+000
8.214999999999259e-001	2.772509e+000
8.216999999999258e-001	2.771761e+000
8.217999999999258e-001	2.771927e+000
8.218999999999258e-001	2.769387e+000
8.219999999999258e-001	2.762608e+000
8.220999999999258e-001	2.756538e+000
8.221177142855874e-001	2.755231e+000
8.221354285712491e-001	2.754028e+000
8.221531428569108e-001	2.752928e+000
8.221708571425724e-001	2.751932e+000
8.221885714282341e-001	2.751040e+000
8.222062857138958e-001	2.750251e+000
8.222239999995574e-001	2.749567e+000
8.222999999999258e-001	2.748527e+000
8.223999999999258e-001	2.748040e+000
8.224999999999257e-001	2.748757e+000
8.225999999999257e-001	2.752908e+000
8.226999999999257e-001	2.746686e+000
8.227999999999257e-001	2.738872e+000
8.228999999999257e-001	2.736521e+000
8.229999999999257e-001	2.732378e+000
8.230999999999257e-001	2.732239e+000
8.231453195880909e-001	2.730353e+000
8.231906391762562e-001	2.728537e+000
8.232359587644215e-001	2.726791e+000
8.232812783525868e-001	2.725117e+000
8.233265979407520e-001	2.723512e+000
8.233719175289174e-001	2.721978e+000
8.234172371170826e-001	2.720515e+000
8.235999999999256e-001	2.714115e+000
8.236999999999256e-001	2.712181e+000
8.237999999999256e-001	2.708826e+000
8.238999999999256e-001	2.706120e+000
8.239999999999256e-001	2.707213e+000
8.240999999999256e-001	2.706194e+000
8.241999999999256e-001	2.701692e+000
8.242999999999255e-001	2.694935e+000
8.243999999999255e-001	2.689990e+000
8.245999999999255e-001	2.681167e+000
8.246999999999255e-001	2.678637e+000
8.247285714284969e-001	2.677690e+000
8.247571428570684e-001	2.676835e+000
8.247857142856397e-001	2.676070e+000
8.248142857142112e-001	2.675396e+000
8.248428571427826e-001	2.674813e+000
8.248714285713541e-001	2.674320e+000
8.248999999999255e-001	2.673918e+000
8.249999999999255e-001	2.670336e+000
8.250999999999255e-001	2.665952e+000
8.251999999999254e-001	2.659310e+000
8.253999999999254e-001	2.646981e+000
8.254999999999254e-001	2.646648e+000
8.255999999999254e-001	2.643257e+000
8.256999999999254e-001	2.640784e+000
8.257285714284968e-001	2.641323e+000
8.257571428570683e-001	2.641425e+000
8.257857142856396e-001	2.641091e+000
8.258142857142111e-001	2.640321e+000
8.258428571427825e-001	2.639115e+000
8.258714285713540e-001	2.637473e+000
8.258999999999254e-001	2.635394e+000
8.259999999999254e-001	2.629050e+000
