time	V(vout)
8.307285714284962e-001	2.250312e+000
8.307571428570677e-001	2.251385e+000
8.307857142856391e-001	2.252104e+000
8.308142857142106e-001	2.252467e+000
8.308428571427819e-001	2.252475e+000
8.308714285713534e-001	2.252128e+000
8.308999999999248e-001	2.251426e+000
8.309999999999248e-001	2.253711e+000
8.310999999999248e-001	2.259665e+000
8.311999999999248e-001	2.260308e+000
8.312999999999248e-001	2.262928e+000
8.313999999999248e-001	2.267094e+000
8.314151065293132e-001	2.267292e+000
8.314302130587016e-001	2.267480e+000
8.314453195880900e-001	2.267658e+000
8.314604261174785e-001	2.267826e+000
8.314755326468669e-001	2.267984e+000
8.314906391762553e-001	2.268131e+000
8.315057457056437e-001	2.268269e+000
8.315334963191124e-001	2.268633e+000
8.315612469325812e-001	2.269272e+000
8.315889975460499e-001	2.270184e+000
8.316167481595186e-001	2.271370e+000
8.316444987729873e-001	2.272829e+000
8.316722493864560e-001	2.274563e+000
8.316999999999247e-001	2.276570e+000
8.317999999999247e-001	2.280917e+000
8.318156305376747e-001	2.280958e+000
8.318312610754247e-001	2.281065e+000
8.318468916131747e-001	2.281238e+000
8.318625221509247e-001	2.281477e+000
8.318781526886747e-001	2.281781e+000
8.318937832264247e-001	2.282152e+000
8.319094137641747e-001	2.282588e+000
8.319999999999247e-001	2.285661e+000
8.320999999999247e-001	2.291662e+000
8.321999999999247e-001	2.296374e+000
8.322999999999247e-001	2.293932e+000
8.323999999999246e-001	2.292164e+000
8.324296995481831e-001	2.292737e+000
8.324593990964417e-001	2.293306e+000
8.324890986447002e-001	2.293873e+000
8.325187981929588e-001	2.294437e+000
8.325484977412173e-001	2.294997e+000
8.325781972894759e-001	2.295555e+000
8.326078968377344e-001	2.296109e+000
8.326999999999246e-001	2.297372e+000
8.328999999999246e-001	2.303754e+000
8.329999999999246e-001	2.303867e+000
8.330999999999246e-001	2.303831e+000
8.331999999999246e-001	2.307090e+000
8.332999999999246e-001	2.306552e+000
8.333999999999245e-001	2.305673e+000
8.335079999999296e-001	2.302571e+000
8.335999999999245e-001	2.299641e+000
8.336177142855862e-001	2.299013e+000
8.336354285712478e-001	2.298504e+000
8.336531428569095e-001	2.298112e+000
8.336708571425712e-001	2.297839e+000
8.336885714282328e-001	2.297683e+000
8.337062857138945e-001	2.297646e+000
8.337239999995562e-001	2.297726e+000
8.337999999999245e-001	2.298747e+000
8.338999999999245e-001	2.299956e+000
8.339999999999245e-001	2.304670e+000
8.340999999999245e-001	2.309650e+000
8.341285714284958e-001	2.309345e+000
8.341571428570673e-001	2.309181e+000
8.341857142856387e-001	2.309160e+000
8.342142857142102e-001	2.309280e+000
8.342428571427816e-001	2.309543e+000
8.342714285713531e-001	2.309947e+000
8.342999999999244e-001	2.310493e+000
8.343999999999244e-001	2.309816e+000
8.345079592638750e-001	2.307219e+000
8.345999999999244e-001	2.309789e+000
8.346285714284958e-001	2.311371e+000
8.346571428570673e-001	2.312662e+000
8.346857142856387e-001	2.313663e+000
8.347142857142101e-001	2.314374e+000
8.347428571427815e-001	2.314795e+000
8.347714285713530e-001	2.314926e+000
8.347999999999244e-001	2.314766e+000
8.348999999999244e-001	2.316844e+000
8.349999999999244e-001	2.322220e+000
8.350275793873755e-001	2.323296e+000
8.350999999999244e-001	2.324749e+000
8.351285714284957e-001	2.324656e+000
8.351571428570672e-001	2.324505e+000
8.351857142856386e-001	2.324295e+000
8.352142857142101e-001	2.324028e+000
8.352428571427815e-001	2.323702e+000
8.352714285713530e-001	2.323318e+000
8.352999999999243e-001	2.322875e+000
8.353999999999243e-001	2.324384e+000
8.354999999999243e-001	2.327407e+000
8.355999999999243e-001	2.331916e+000
8.356999999999243e-001	2.336892e+000
8.357151670577155e-001	2.336988e+000
8.357303341155068e-001	2.337126e+000
8.357455011732980e-001	2.337306e+000
8.357606682310894e-001	2.337528e+000
8.357758352888807e-001	2.337791e+000
8.357910023466719e-001	2.338097e+000
8.358061694044632e-001	2.338444e+000
8.358349876092162e-001	2.339148e+000
8.358638058139691e-001	2.339770e+000
8.358926240187221e-001	2.340308e+000
8.359214422234751e-001	2.340764e+000
8.359502604282281e-001	2.341137e+000
8.359790786329810e-001	2.341428e+000
8.360078968377340e-001	2.341636e+000
8.360999999999242e-001	2.342944e+000
8.361999999999242e-001	2.343041e+000
8.363079999999242e-001	2.342180e+000
8.363999999999242e-001	2.345466e+000
8.364999999999242e-001	2.348699e+000
8.365999999999242e-001	2.351085e+000
8.366999999999242e-001	2.356775e+000
8.367999999999242e-001	2.358202e+000
8.368999999999242e-001	2.359910e+000
8.369999999999241e-001	2.362517e+000
8.370999999999241e-001	2.363786e+000
8.371999999999241e-001	2.367932e+000
8.372285714284955e-001	2.368344e+000
8.372571428570670e-001	2.369089e+000
8.372857142856384e-001	2.370167e+000
8.373142857142099e-001	2.371578e+000
8.373428571427812e-001	2.373321e+000
8.373714285713527e-001	2.375397e+000
8.373999999999241e-001	2.377806e+000
8.374999999999241e-001	2.383645e+000
8.375999999999241e-001	2.387630e+000
8.376999999999241e-001	2.394570e+000
8.377999999999241e-001	2.397135e+000
8.378349388396560e-001	2.396670e+000
8.378698776793878e-001	2.396582e+000
8.379048165191197e-001	2.396869e+000
8.379397553588516e-001	2.397533e+000
8.379746941985835e-001	2.398573e+000
8.380096330383153e-001	2.399989e+000
8.380445718780473e-001	2.401781e+000
8.380999999999240e-001	2.404686e+000
8.381999999999240e-001	2.407750e+000
8.382999999999240e-001	2.410688e+000
8.383285714284954e-001	2.412553e+000
8.383571428570669e-001	2.414290e+000
8.383857142856382e-001	2.415899e+000
8.384142857142097e-001	2.417381e+000
8.384428571427811e-001	2.418735e+000
8.384714285713526e-001	2.419961e+000
